TCP Variant,Data Rate,Tx Packets,Rx Packets,Mean Delay,Lost Packets,Packet Loss Ratio,TCP Throughput
vegas,512Kbps,980,976,44.6825,4,0.408163,452.035
vegas,1Mbps,1911,1906,24.5515,5,0.261643,884.514
vegas,2Mbps,3816,3811,13.0701,5,0.131027,1770.12
vegas,3Mbps,5724,5716,11.2983,8,0.139762,2655.58
vegas,4Mbps,7629,7621,9.1967,8,0.104863,3541.37
bic,512Kbps,1125,1015,446.132,110,9.77778,450.222
bic,1Mbps,2004,1923,290.339,81,4.04192,822.222
bic,2Mbps,3600,3482,197.964,118,3.27778,1550.67
bic,3Mbps,5851,5695,148.246,156,2.66621,2585.35
bic,4Mbps,7778,7637,110.913,141,1.81281,3486.21
newreno,512Kbps,1125,1015,446.132,110,9.77778,450.222
newreno,1Mbps,2024,1953,271.226,71,3.50791,882.299
newreno,2Mbps,3936,3857,149.724,79,2.00711,1767.65
newreno,3Mbps,5851,5763,109.89,88,1.50402,2653.8
newreno,4Mbps,7751,7668,69.3159,83,1.07083,3539.36
cubic,512Kbps,1125,1015,446.132,110,9.77778,450.222
cubic,1Mbps,2047,1931,316.893,116,5.66683,872.042
cubic,2Mbps,3937,3846,166.306,91,2.3114,1762.36
cubic,3Mbps,5848,5755,113.238,93,1.59029,2649.93
cubic,4Mbps,7770,7665,94.7435,105,1.35135,3534.67
